date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:59:08	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2030%20Aug%202018%2015:35:00%20GMT	https://presaletokenconfirmation.com/assets/fonts/ionicons.eot?v=2.0.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/ionicons28b5.eot	(from https://presaletokenconfirmation.com/assets/css/ionicons.min.css)
07:59:10	67904/67904	---M--	200	added ('OK')	font/woff	date:Thu,%2030%20Aug%202018%2015:34:56%20GMT	https://presaletokenconfirmation.com/assets/fonts/ionicons.woff?v=2.0.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/ionicons28b5.woff	(from https://presaletokenconfirmation.com/assets/css/ionicons.min.css)
07:59:13	188508/188508	---M--	200	added ('OK')	font/ttf	date:Thu,%2030%20Aug%202018%2015:34:58%20GMT	https://presaletokenconfirmation.com/assets/fonts/ionicons.ttf?v=2.0.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/ionicons28b5.ttf	(from https://presaletokenconfirmation.com/assets/css/ionicons.min.css)
07:59:16	336064/336064	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Aug%202018%2015:35:00%20GMT	https://presaletokenconfirmation.com/assets/fonts/ionicons.svg?v=2.0.0	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/ionicons28b5.svg	(from https://presaletokenconfirmation.com/assets/css/ionicons.min.css)
07:59:18	70468/70468	---M--	200	added ('OK')	font/woff	date:Sun,%2008%20Jul%202018%2002:05:52%20GMT	https://presaletokenconfirmation.com/assets/fonts/cryptocoins.woff	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/cryptocoins.woff	(from https://presaletokenconfirmation.com/assets/css/cryptocoins.css)
07:59:18	59852/59852	---M--	200	added ('OK')	font/woff2	date:Sun,%2008%20Jul%202018%2002:05:52%20GMT	https://presaletokenconfirmation.com/assets/fonts/cryptocoins.woff2	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/cryptocoins.woff2	(from https://presaletokenconfirmation.com/assets/css/cryptocoins.css)
07:59:20	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2006:59:19%20GMT	https://presaletokenconfirmation.com/assets/owlcarousel/css/owl.video.play.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/owlcarousel/css/owl.video.play.png	(from https://presaletokenconfirmation.com/assets/owlcarousel/css/owl.carousel.min.css)
07:59:22	24286/24286	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jun%202018%2013:09:08%20GMT	https://presaletokenconfirmation.com/assets/images/banner_bg1.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/banner_bg1.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:23	115084/115084	---M--	200	added ('OK')	font/ttf	date:Sun,%2008%20Jul%202018%2002:05:52%20GMT	https://presaletokenconfirmation.com/assets/fonts/cryptocoins.ttf	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/fonts/cryptocoins.ttf	(from https://presaletokenconfirmation.com/assets/css/cryptocoins.css)
07:59:24	2927/2927	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Sep%202018%2014:40:02%20GMT	https://presaletokenconfirmation.com/assets/images/wave.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/wave.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:25	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2006:59:23%20GMT	https://presaletokenconfirmation.com/assets/images/about_bg.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/about_bg.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:26	7987/7987	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jun%202018%2013:08:36%20GMT	https://presaletokenconfirmation.com/assets/images/rounded_shape.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/rounded_shape.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:26	6789/6789	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Jun%202018%2013:08:06%20GMT	https://presaletokenconfirmation.com/assets/images/token_countdown_bg.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/token_countdown_bg.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2006:59:27%20GMT	https://presaletokenconfirmation.com/assets/images/counter_bg.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/counter_bg.39.delayed	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2006:59:28%20GMT	https://presaletokenconfirmation.com/assets/images/mobile_shape_bg.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/mobile_shape_bg.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:31	58058/58058	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Jul%202018%2010:33:32%20GMT	https://presaletokenconfirmation.com/assets/images/token_bg2.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/token_bg2.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:34	85585/85585	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Aug%202018%2019:01:44%20GMT	https://presaletokenconfirmation.com/assets/images/footer_pattern.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/footer_pattern.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:37	63336/63336	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jul%202018%2015:04:42%20GMT	https://presaletokenconfirmation.com/assets/images/counter_bg.jpg	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/counter_bg.jpg	(from https://presaletokenconfirmation.com/assets/css/style.css)
07:59:40	45441/45441	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jun%202018%2018:35:48%20GMT	https://presaletokenconfirmation.com/assets/images/whitepaper_pattern.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/whitepaper_pattern.png	(from https://presaletokenconfirmation.com/assets/css/style.css)
